"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Leveraging Large Language Models for Automated Schema Matching and Data Transformation in Enterprise ETL Pipelines","https://scispace.com/paper/leveraging-large-language-models-for-automated-schema-v3x9ncvwvn3d","2025","Repository","","","10.5281/zenodo.17117078","","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs centrally for schema matching and transformation code generation. Shows multi‑domain ETL handling and benchmark tests, but lacks reverse‑engineering, class‑taxonomy focus, zero‑shot claims, and ablation analysis.","Modern enterprises encounter significant challenges when integrating heterogeneous data sources due to schema variability, inconsistent naming conventions, and noisy real-world datasets that traditionally require extensive manual intervention. This work presents a novel generative AI framework that employs Large Language Models augmented with retrieval-based techniques to automate schema matching, column-level mapping, and transformation rule generation within ETL pipelines. The framework incorporates metadata-aware prompting strategies, domain-specific exemplar retrieval through RAG, and iterative self-refinement mechanisms to produce high-quality mapping suggestions alongside executable transformation code in SQL and pandas formats. Confidence scoring enables effective human-in-the-loop validation while adaptive feedback mechanisms facilitate continuous improvement from user corrections. The system demonstrates the capability of handling evolving schemas and multilingual datasets across diverse enterprise domains. Experimental evaluation on synthetic datasets and established benchmarks reveals substantial improvements in matching accuracy, precision, and recall compared to traditional name-similarity metrics and classical machine learning classifiers. The framework addresses critical deployment considerations, including data privacy compliance, operational scalability, and hallucination mitigation strategies. Results indicate significant potential for reliable large-scale enterprise adoption through transparent, auditable automated ETL workflows that maintain data quality standards while reducing manual overhead. "
"Machine-Readable by Design: Language Specifications as the Key to Integrating LLMs into Industrial Tools","https://scispace.com/paper/machine-readable-by-design-language-specifications-as-the-w40iv71n01mb","2025","Proceedings Article","Computer Science and Information Systems (FedCSIS), 2019 Federated Conference on","Alexander Fischer
Louis Burk
Ramin Tavakoli Kolagari
Uwe Wienkop","10.15439/2025f5613","https://scispace.compdf/machine-readable-by-design-language-specifications-as-the-w40iv71n01mb.pdf","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs to generate structured artifacts via meta‑language prompts; evaluated on VR and automotive domains, showing cross‑domain promise but no document schema reverse‑engineering, zero‑shot, or benchmark analysis.","We propose a meta-language-based approach enabling Large Language Models (LLMs) to reliably generate structured, machine-readable artifacts referred to as Meta-Language-defined Structures (MLDS) adapted to domain requirements, without adhering strictly to standard formats like JSON or XML. By embedding explicit schema instructions within prompts, we evaluated the method across diverse use cases, including automated Virtual Reality environment generation and automotive security modeling. Our experiments demonstrate that the meta-language approach significantly improves LLM-generated structure compliance, with an 88% validation rate across 132 test scenarios. Compared to traditional methods using LangChain and Pydantic, our MLDS method reduces setup complexity by approximately 80%, despite a marginally higher error rate. Furthermore, the MLDS artifacts produced were easily editable, enabling rapid iterative refinement. This flexibility greatly alleviates the ""blank page syndrome"" by providing structured initial artifacts suitable for immediate use or further human enhancement, making our approach highly practical for rapid prototyping and integration into complex industrial workflows."
"Automated Creation of the Legal Knowledge Graph Addressing Legislation on Violence Against Women: Resource, Methodology and Lessons Learned","https://scispace.com/paper/automated-creation-of-the-legal-knowledge-graph-addressing-0lwquoau97om","2025","Journal Article","arXiv.org","Claudia dAmato
Giuseppe Rubini
Francesco Didio
Donato Francioso
Fatima Zahra Amara
Nicola Fanizzi","10.48550/arxiv.2508.06368","https://scispace.compdf/automated-creation-of-the-legal-knowledge-graph-addressing-0lwquoau97om.pdf","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Mixtral LLM to generate ontologies and KGs from legal texts, demonstrating zero‑shot prompting but limited to a single domain and lacking class‑taxonomy focus, benchmarks, scalability, or ablation analysis.","Legal decision-making process requires the availability of comprehensive and detailed legislative background knowledge and up-to-date information on legal cases and related sentences/decisions. Legal Knowledge Graphs (KGs) would be a valuable tool to facilitate access to legal information, to be queried and exploited for the purpose, and to enable advanced reasoning and machine learning applications. Indeed, legal KGs may act as knowledge intensive component to be used by pre-dictive machine learning solutions supporting the decision process of the legal expert. Nevertheless, a few KGs can be found in the legal domain. To fill this gap, we developed a legal KG targeting legal cases of violence against women, along with clear adopted methodologies. Specifically, the paper introduces two complementary approaches for automated legal KG construction; a systematic bottom-up approach, customized for the legal domain, and a new solution leveraging Large Language Models. Starting from legal sentences publicly available from the European Court of Justice, the solutions integrate structured data extraction, ontology development, and semantic enrichment to produce KGs tailored for legal cases involving violence against women. After analyzing and comparing the results of the two approaches, the developed KGs are validated via suitable competency questions. The obtained KG may be impactful for multiple purposes: can improve the accessibility to legal information both to humans and machine, can enable complex queries and may constitute an important knowledge component to be possibly exploited by machine learning tools tailored for predictive justice."
"Less but Better: Enabling Generalized Zero-shot Learning Towards Unseen Domains by Intrinsic Learning from Redundant LLM Semantics","https://scispace.com/paper/less-but-better-enabling-generalized-zero-shot-learning-2j7cdc2uf4","2024","Journal Article","arXiv.org","Jiaqi Yue
Jiancheng Zhao
Chunhui Zhao","10.48550/arxiv.2403.14362","https://scispace.compdf/less-but-better-enabling-generalized-zero-shot-learning-2j7cdc2uf4.pdf","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM semantics for zero‑shot domain generalization, but focuses on classification rather than generative schema reverse‑engineering or hierarchical document taxonomy.","Generalized zero-shot learning (GZSL) focuses on recognizing seen and unseen classes against domain shift problem (DSP) where data of unseen classes may be misclassified as seen classes. However, existing GZSL is still limited to seen domains. In the current work, we pioneer cross-domain GZSL (CDGZSL) which addresses GZSL towards unseen domains. Different from existing GZSL methods which alleviate DSP by generating features of unseen classes with semantics, CDGZSL needs to construct a common feature space across domains and acquire the corresponding intrinsic semantics shared among domains to transfer from seen to unseen domains. Considering the information asymmetry problem caused by redundant class semantics annotated with large language models (LLMs), we present Meta Domain Alignment Semantic Refinement (MDASR). Technically, MDASR consists of two parts: Inter-class Similarity Alignment (ISA), which eliminates the non-intrinsic semantics not shared across all domains under the guidance of inter-class feature relationships, and Unseen-class Meta Generation (UMG), which preserves intrinsic semantics to maintain connectivity between seen and unseen classes by simulating feature generation. MDASR effectively aligns the redundant semantic space with the common feature space, mitigating the information asymmetry in CDGZSL. The effectiveness of MDASR is demonstrated on the Office-Home and Mini-DomainNet, and we have shared the LLM-based semantics for these datasets as the benchmark."
"LLM-Assisted Ontology Engineering: A Case Study on the EU Artificial Intelligence Act.","https://scispace.com/paper/KevnSampf-MJ","","","","CN Spanou","","https://pergamos.lib.uoa.gr/uoa/dl/object/5309789/file.pdf","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM to assist ontology creation for the EU AI Act, but does not perform generative reverse‑engineering of document schemas, lacks cross‑domain or zero‑shot evaluation, and focuses on legal ontology rather than hierarchical document class induction.",""
"Neurosymbolic Narrative Construction From Open Source Intelligence","https://scispace.com/paper/neurosymbolic-narrative-construction-from-open-source-vec5qqtk568t","2024","Repository","","Ranade, Priyanka","10.13016/m2de0r-gq78","","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs to drive retrieval‑augmented narrative generation via ontology prompts; applies to news and cybersecurity events, but does not reverse‑engineer schemas, induce document class hierarchies, or provide zero‑shot, benchmark, scalability, or ablation analyses.","Breaking real-world events are typically reported via Open Source Intelligence (OSINT) sources such as news websites, blogs, and discussion forums. Search engines such as Google, Yahoo, and Bing aggregate this volume of information by relevance using a variety of ranking algorithms. End users manually parse search engine results pages and organize event incidents to form coherent explanations about associated themes and temporal relationships surrounding a queried topic. The process of piecing event incidents into a chronological and contextually-coherent sequence is known as narrative construction. Narrative construction across open events is generally a convoluted process, as events are reported and instantiated by potentially many users at a time, introducing noise such as misinformation, redundant or outdated data, and conflicting reporting. Conventional search engines lack construction abilities that address these challenges. The advent of generative Large Language Models (LLMs) such as ChatGPT and Gemini has revolutionized the synthesis of dynamic, disparate information during semantic search, diminishing the requirement for end users to manually parse results about topics of interest. This form of chatbot-based multi-document collation and summarization closely resembles the narrative construction process. Though this method provides potential benefits in condensing complex content and increasing overall event situational awareness, it still has several limitations: (i) difficult and sometimes impossible to integrate updated content dynamically, (ii) generation of non-factual, irrelevant, or incomplete information, (iii) high variability and subjectivity in responses, and (iv) lack of provenance, attribution, and trust for knowledge sources used to generate responses. This thesis presents a set of approaches in neurosymbolic representation and construction of disparately sourced event narratives. The primary contribution of this work is a novel Retrieval Augmented Generation (RAG) framework, FABULA, which implements a Web Ontology Language (OWL) schema as an intermediary plot representation to guide a decoder LLM to generate delineated event incidents as a constructed narrative about a queried topic. FABULA is composed of: (i) An Information Extraction (IE) approach for parsing unstructured event incidents, (ii) Integration of event incidents into a novel semantic web ontology, Event Narrative Ontology (ENO), and (iii) Schema-derived prompting during autoregressive narrative construction. Qualitative and quantitative approaches are used to evaluate the implementation of a plot schema as a search function. Experiments are performed across generic public news events and cybersecurity domain use cases. "
"Towards Accurate and Efficient Document Analytics with Large Language
  Models","https://scispace.com/paper/towards-accurate-and-efficient-document-analytics-with-large-365ag85eyo","2024","Preprint","","Lin Yuan
Madelon Hulsebos
Ruiying Ma
Shreya Shankar
Sepanta Zeigham
Aditya Parameswaran
Eugene Wu","10.48550/arxiv.2405.04674","https://scispace.compdf/towards-accurate-and-efficient-document-analytics-with-large-365ag85eyo.pdf","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs to extract hierarchical structures for SQL querying; shows cost/accuracy gains across several collections, but lacks generative schema reverse‑engineering, zero‑shot or taxonomy focus.","Unstructured data formats account for over 80% of the data currently stored, and extracting value from such formats remains a considerable challenge. In particular, current approaches for managing unstructured documents do not support ad-hoc analytical queries on document collections. Moreover, Large Language Models (LLMs) directly applied to the documents themselves, or on portions of documents through a process of Retrieval-Augmented Generation (RAG), fail to provide high accuracy query results, and in the LLM-only case, additionally incur high costs. Since many unstructured documents in a collection often follow similar templates that impart a common semantic structure, we introduce ZenDB, a document analytics system that leverages this semantic structure, coupled with LLMs, to answer ad-hoc SQL queries on document collections. ZenDB efficiently extracts semantic hierarchical structures from such templatized documents, and introduces a novel query engine that leverages these structures for accurate and cost-effective query execution. Users can impose a schema on their documents, and query it, all via SQL. Extensive experiments on three real-world document collections demonstrate ZenDB's benefits, achieving up to 30% cost savings compared to LLM-based baselines, while maintaining or improving accuracy, and surpassing RAG-based baselines by up to 61% in precision and 80% in recall, at a marginally higher cost. "
"Retrieval Augmented Zero-Shot Text Classification","https://scispace.com/paper/retrieval-augmented-zero-shot-text-classification-2gzalxk28u","2024","Preprint","","Tassallah Abdullahi
Ritambhara Singh
Carsten Eickhoff","10.1145/3664190.3672514","https://scispace.compdf/retrieval-augmented-zero-shot-text-classification-2gzalxk28u.pdf","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses retrieval‑augmented embeddings for zero‑shot classification, achieving strong zero‑shot performance but lacks generative LLM schema reverse‑engineering, hierarchical taxonomy induction, multi‑domain tests, and detailed ablations.","Zero-shot text learning enables text classifiers to handle unseen classes efficiently, alleviating the need for task-specific training data. A simple approach often relies on comparing embeddings of query (text) to those of potential classes. However, the embeddings of a simple query sometimes lack rich contextual information, which hinders the classification performance. Traditionally, this has been addressed by improving the embedding model with expensive training. We introduce QZero, a novel training-free knowledge augmentation approach that reformulates queries by retrieving supporting categories from Wikipedia to improve zero-shot text classification performance. Our experiments across six diverse datasets demonstrate that QZero enhances performance for state-of-the-art static and contextual embedding models without the need for retraining. Notably, in News and medical topic classification tasks, QZero improves the performance of even the largest OpenAI embedding model by at least 5% and 3%, respectively. Acting as a knowledge amplifier, QZero enables small word embedding models to achieve performance levels comparable to those of larger contextual models, offering the potential for significant computational savings. Additionally, QZero offers meaningful insights that illuminate query context and verify topic relevance, aiding in understanding model predictions. Overall, QZero improves embedding-based zero-shot classifiers while maintaining their simplicity. This makes it particularly valuable for resource-constrained environments and domains with constantly evolving information. "
"Consistent and efficient long document understanding","https://scispace.com/paper/BSOIo2bpH28J","","","","Q Zeng","","https://www.ideals.illinois.edu/items/129159/bitstreams/430988/data.pdf","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM to hierarchically capture document structure, but lacks generative schema reverse‑engineering, cross‑domain tests, and explicit class‑taxonomy induction; limited zero‑shot and scalability details.",""
"AI-assisted JSON Schema Creation and Mapping","https://scispace.com/paper/ai-assisted-json-schema-creation-and-mapping-zhqroq5hpk47","2025","Journal Article","arXiv.org","Felix Neubauer
Jürgen Pleiss
Benjamin Uekermann","10.48550/arxiv.2508.05192","https://scispace.compdf/ai-assisted-json-schema-creation-and-mapping-zhqroq5hpk47.pdf","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM to generate JSON schemas and mapping code, but lacks reverse‑engineering of class hierarchies, cross‑domain tests, zero‑shot or benchmark evaluation.","Model-Driven Engineering (MDE) places models at the core of system and data engineering processes. In the context of research data, these models are typically expressed as schemas that define the structure and semantics of datasets. However, many domains still lack standardized models, and creating them remains a significant barrier, especially for non-experts. We present a hybrid approach that combines large language models (LLMs) with deterministic techniques to enable JSON Schema creation, modification, and schema mapping based on natural language inputs by the user. These capabilities are integrated into the open-source tool MetaConfigurator, which already provides visual model editing, validation, code generation, and form generation from models. For data integration, we generate schema mappings from heterogeneous JSON, CSV, XML, and YAML data using LLMs, while ensuring scalability and reliability through deterministic execution of generated mapping rules. The applicability of our work is demonstrated in an application example in the field of chemistry. By combining natural language interaction with deterministic safeguards, this work significantly lowers the barrier to structured data modeling and data integration for non-experts."
"LLMATCH: A Unified Schema Matching Framework with Large Language Models","https://scispace.com/paper/llmatch-a-unified-schema-matching-framework-with-large-4fxdi0qr3f8i","2025","Journal Article","arXiv.org","Sha Wang
Yuchen Li
Hanhua Xiao
Bing Tian Dai
Roy Ka-Wei Lee
Yanfei Dong
Lambert Deng","10.48550/arxiv.2507.10897","","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs for schema matching across enterprise domains; lacks generative reverse‑engineering, zero‑shot, and document class induction, so only partially aligns with cross‑domain and benchmark aspects.","Schema matching is a foundational task in enterprise data integration, aiming to align disparate data sources. While traditional methods handle simple one-to-one table mappings, they often struggle with complex multi-table schema matching in real-world applications. We present LLMatch, a unified and modular schema matching framework. LLMatch decomposes schema matching into three distinct stages: schema preparation, table-candidate selection, and column-level alignment, enabling component-level evaluation and future-proof compatibility. It includes a novel two-stage optimization strategy: a Rollup module that consolidates semantically related columns into higher-order concepts, followed by a Drilldown module that re-expands these concepts for fine-grained column mapping. To address the scarcity of complex semantic matching benchmarks, we introduce SchemaNet, a benchmark derived from real-world schema pairs across three enterprise domains, designed to capture the challenges of multi-table schema alignment in practical settings. Experiments demonstrate that LLMatch significantly improves matching accuracy in complex schema matching settings and substantially boosts engineer productivity in real-world data integration."
"Exploring and Testing Skill-Based Behavioral Profile Annotation: Human Operability and LLM Feasibility under Schema-Guided Execution","https://scispace.com/paper/http://arxiv.org/abs/2604.14843v1","2026","Preprint","","Yufeng Wu","","https://arxiv.org/pdf/2604.14843v1","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs for skill‑driven behavioral profile annotation; lacks schema reverse‑engineering, document class induction, cross‑domain tests, benchmarks, scalability or ablation analyses.","Behavioral Profile (BP) annotation is difficult to automate because it requires simultaneous coding across multiple linguistic dimensions. We treat BP annotation as a bundle of annotation skills rather than a single task and evaluate LLM-assisted BP annotation from this perspective. Using 3,134 concordance lines of 30 Chinese metaphorical color-term derivatives and a 14-feature BP schema, we implement a skill-file-driven pipeline in which each feature is externally defined through schema files, decision rules, and examples. Two human annotators completed a two-round schema-only protocol on a 300-instance validation subset, enabling BP skills to be classified as directly operable, recoverable under focused re-annotation, or structurally underspecified. GPT-5.4 and three locally deployable open-source models were then evaluated under the same setup. Results show that BP annotation is highly heterogeneous at the skill level: 5 skills are directly operable, 4 are recoverable after focused re-annotation, and 5 remain structurally underspecified. GPT-5.4 executes the retained skills with substantial reliability (accuracy = 0.678, \k{appa} = 0.665, weighted F1 = 0.695), but this feasibility is selective rather than global. Human and GPT difficulty profiles are strongly aligned at the skill level (r = 0.881), but not at the instance level (r = 0.016) or lexical-item level (r = -0.142), a pattern we describe as shared taxonomy, independent execution. Pairwise agreement further suggests that GPT is better understood as an independent third skill voice than as a direct human substitute. Open-source failures are concentrated in schema-to-skill execution problems. These findings suggest that automatic annotation should be evaluated in terms of skill feasibility rather than task-level automation."
"Human-in-the-Loop Schema Induction","https://scispace.com/paper/human-in-the-loop-schema-induction-1xo603y4","2023","Posted Content","","","10.48550/arxiv.2302.13048","https://scispace.com/pdf/human-in-the-loop-schema-induction-1xo603y4.pdf","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses GPT‑3 as core engine for generative schema induction with human curation; lacks document‑class taxonomy focus, cross‑domain benchmarks, zero‑shot results, and quantitative evaluations.","Schema induction builds a graph representation explaining how events unfold in a scenario. Existing approaches have been based on information retrieval (IR) and information extraction(IE), often with limited human curation. We demonstrate a human-in-the-loop schema induction system powered by GPT-3. We first describe the different modules of our system, including prompting to generate schematic elements, manual edit of those elements, and conversion of those into a schema graph. By qualitatively comparing our system to previous ones, we show that our system not only transfers to new domains more easily than previous approaches, but also reduces efforts of human curation thanks to our interactive interface. "
"Evaluation of Finetuned LLMs in AMR Parsing","https://scispace.com/paper/evaluation-of-finetuned-llms-in-amr-parsing-1vbr8vgdl3tz","2025","Journal Article","","Shu Han Ho","10.48550/arxiv.2508.05028","https://arxiv.org/pdf/2508.05028","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM finetuning for AMR parsing, evaluates on standard AMR benchmark, compares multiple models, but lacks schema reverse‑engineering, cross‑domain, zero‑shot, or document taxonomy focus.","AMR (Abstract Meaning Representation) is a semantic formalism that encodes sentence meaning as rooted, directed, acyclic graphs, where nodes represent concepts and edges denote semantic relations. Finetuning decoder only Large Language Models (LLMs) represent a promising novel straightfoward direction for AMR parsing. This paper presents a comprehensive evaluation of finetuning four distinct LLM architectures, Phi 3.5, Gemma 2, LLaMA 3.2, and DeepSeek R1 LLaMA Distilled using the LDC2020T02 Gold AMR3.0 test set. Our results have shown that straightfoward finetuning of decoder only LLMs can achieve comparable performance to complex State of the Art (SOTA) AMR parsers. Notably, LLaMA 3.2 demonstrates competitive performance against SOTA AMR parsers given a straightforward finetuning approach. We achieved SMATCH F1: 0.804 on the full LDC2020T02 test split, on par with APT + Silver (IBM) at 0.804 and approaching Graphene Smatch (MBSE) at 0.854. Across our analysis, we also observed a consistent pattern where LLaMA 3.2 leads in semantic performance while Phi 3.5 excels in structural validity. "
"DocKD: Knowledge Distillation from LLMs for Open-World Document Understanding Models","https://scispace.com/paper/dockd-knowledge-distillation-from-llms-for-open-world-2atgy5po76jz","2024","Journal Article","","Sungnyun Kim
Haofu Liao
Srikar Appalaraju
Peng Tang
Zhuowen Tu
Ravi Kumar Satzoda
R. Manmatha
Vijay Mahadevan
Stefano Soatto","10.48550/arxiv.2410.03061","https://scispace.compdf/dockd-knowledge-distillation-from-llms-for-open-world-2atgy5po76jz.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on LLM‑based knowledge distillation for document classification, not on generative schema reverse‑engineering or taxonomy induction; evaluates only RVL‑CDIP benchmark with limited ablations.","Visual document understanding (VDU) is a challenging task that involves understanding documents across various modalities (text and image) and layouts (forms, tables, etc.). This study aims to enhance generalizability of small VDU models by distilling knowledge from LLMs. We identify that directly prompting LLMs often fails to generate informative and useful data. In response, we present a new framework (called DocKD) that enriches the data generation process by integrating external document knowledge. Specifically, we provide an LLM with various document elements like key-value pairs, layouts, and descriptions, to elicit open-ended answers. Our experiments show that DocKD produces high-quality document annotations and surpasses the direct knowledge distillation approach that does not leverage external document knowledge. Moreover, student VDU models trained with solely DocKD-generated data is not only comparable to those trained with human-annotated data on in-domain tasks but also significantly excel them on out-of-domain tasks."
"RevCD -- Reversed Conditional Diffusion for Generalized Zero-Shot
  Learning","https://scispace.com/paper/revcd-reversed-conditional-diffusion-for-generalized-zero-5ipez34yztjp","2024","Journal Article","","William Heyden
Habib Ullah
M. Salman Siddiqui
Fadi Al Machot","10.48550/arxiv.2409.00511","https://scispace.compdf/revcd-reversed-conditional-diffusion-for-generalized-zero-5ipez34yztjp.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** The paper proposes a reversed conditional diffusion model for generalized zero‑shot learning, focusing on image classification, not LLM‑based schema generation or document taxonomy induction.","In Generalized Zero-Shot Learning (GZSL), we aim to recognize both seen and unseen categories using a model trained only on seen categories. In computer vision, this translates into a classification problem, where knowledge from seen categories is transferred to unseen categories by exploiting the relationships between visual features and available semantic information, such as text corpora or manual annotations. However, learning this joint distribution is costly and requires one-to-one training with corresponding semantic information. We present a reversed conditional Diffusion-based model (RevCD) that mitigates this issue by generating semantic features synthesized from visual inputs by leveraging Diffusion models' conditional mechanisms. Our RevCD model consists of a cross Hadamard-Addition embedding of a sinusoidal time schedule and a multi-headed visual transformer for attention-guided embeddings. The proposed approach introduces three key innovations. First, we reverse the process of generating semantic space based on visual data, introducing a novel loss function that facilitates more efficient knowledge transfer. Second, we apply Diffusion models to zero-shot learning - a novel approach that exploits their strengths in capturing data complexity. Third, we demonstrate our model's performance through a comprehensive cross-dataset evaluation. The complete code will be available on GitHub. "
"Tf-GCZSL: Task-free generalized continual zero-shot learning","https://scispace.com/paper/tf-gczsl-task-free-generalized-continual-zero-shot-learning-15k6zxnu","2022","Journal Article","Neural Networks","Chandan Gautam
Sethupathy Parameswaran
Ashish Mishra
Suresh Sundram","10.1016/j.neunet.2022.08.034","https://scispace.com/pdf/tf-gczsl-task-free-generalized-continual-zero-shot-learning-15k6zxnu.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on task‑free continual zero‑shot learning with VAE/GAN, no LLM, schema reverse‑engineering, or document taxonomy induction.",""
"Open-Domain Hierarchical Event Schema Induction by Incremental Prompting and Verification","https://scispace.com/paper/open-domain-hierarchical-event-schema-induction-by-2shc95lf","2023","Proceedings Article","Annual Meeting of the Association for Computational Linguistics","Sha Li
Rui Zhao
Manling Li
Heng Ji
Chris Callison-Burch
Jiawei Han","10.48550/arXiv.2307.01972","https://scispace.compdf/open-domain-hierarchical-event-schema-induction-by-2shc95lf.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses LLM prompting to generate event schemas, not document class hierarchies; evaluates on two open‑domain event datasets, showing cross‑domain and zero‑shot traits, but lacks document‑centric focus, scalability discussion, and generative‑extractive ablations.","Event schemas are a form of world knowledge about the typical progression of events. Recent methods for event schema induction use information extraction systems to construct a large number of event graph instances from documents, and then learn to generalize the schema from such instances. In contrast, we propose to treat event schemas as a form of commonsense knowledge that can be derived from large language models (LLMs). This new paradigm greatly simplifies the schema induction process and allows us to handle both hierarchical relations and temporal relations between events in a straightforward way. Since event schemas have complex graph structures, we design an incremental prompting and verification method IncPrompt to break down the construction of a complex event graph into three stages: event skeleton construction, event expansion, and event-event relation verification. Compared to directly using LLMs to generate a linearized graph, IncSchema can generate large and complex schemas with 7.2% F1 improvement in temporal relations and 31.0% F1 improvement in hierarchical relations. In addition, compared to the previous state-of-the-art closed-domain schema induction model, human assessors were able to cover ~10% more events when translating the schemas into coherent stories and rated our schemas 1.3 points higher (on a 5-point scale) in terms of readability."
"P-ICL: Point In-Context Learning for Named Entity Recognition with Large
  Language Models","https://scispace.com/paper/p-icl-point-in-context-learning-for-named-entity-recognition-428zk9i8wc","2024","Preprint","","Guoqin Jiang
Zepeng Ding
Yongjiang Shi
Deqing Yang","10.48550/arxiv.2405.04960","https://scispace.compdf/p-icl-point-in-context-learning-for-named-entity-recognition-428zk9i8wc.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses LLMs for point‑based in‑context NER across multiple benchmarks, showing zero‑shot and cross‑domain performance, but does not address schema reverse engineering or document class hierarchy induction.","In recent years, the rise of large language models (LLMs) has made it possible to directly achieve named entity recognition (NER) without any demonstration samples or only using a few samples through in-context learning (ICL). However, standard ICL only helps LLMs understand task instructions, format and input-label mapping, but neglects the particularity of the NER task itself. In this paper, we propose a new prompting framework P-ICL to better achieve NER with LLMs, in which some point entities are leveraged as the auxiliary information to recognize each entity type. With such significant information, the LLM can achieve entity classification more precisely. To obtain optimal point entities for prompting LLMs, we also proposed a point entity selection method based on K-Means clustering. Our extensive experiments on some representative NER benchmarks verify the effectiveness of our proposed strategies in P-ICL and point entity selection. "
"StructSynth: Leveraging LLMs for Structure-Aware Tabular Data Synthesis in Low-Data Regimes","https://scispace.com/paper/structsynth-leveraging-llms-for-structure-aware-tabular-data-lsdmfvi8vwsq","2025","Journal Article","arXiv.org","Siyi Liu
Yujia Zheng
Yongqi Zhang","10.48550/arxiv.2508.02601","https://scispace.compdf/structsynth-leveraging-llms-for-structure-aware-tabular-data-lsdmfvi8vwsq.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses LLMs to synthesize tabular data with structural DAG control, but does not address document schema reverse‑engineering, cross‑domain document tasks, zero‑shot taxonomy induction, or related benchmark evaluations.","The application of machine learning on tabular data in specialized domains is severely limited by data scarcity. While generative models offer a solution, traditional methods falter in low-data regimes, and recent Large Language Models (LLMs) often ignore the explicit dependency structure of tabular data, leading to low-fidelity synthetics. To address these limitations, we introduce StructSynth, a novel framework that integrates the generative power of LLMs with robust structural control. StructSynth employs a two-stage architecture. First, it performs explicit structure discovery to learn a Directed Acyclic Graph (DAG) from the available data. Second, this learned structure serves as a high-fidelity blueprint to steer the LLM's generation process, forcing it to adhere to the learned feature dependencies and thereby ensuring the generated data respects the underlying structure by design. Our extensive experiments demonstrate that StructSynth produces synthetic data with significantly higher structural integrity and downstream utility than state-of-the-art methods. It proves especially effective in challenging low-data scenarios, successfully navigating the trade-off between privacy preservation and statistical fidelity."
"Research on Zero-Shot Learning Based on Generative Model","https://scispace.com/paper/research-on-zero-shot-learning-based-on-generative-model-4qc4co6c1v","2024","Book Chapter","Frontiers in artificial intelligence and applications","Shuhua Yan
Qingtao Zeng
Yongsheng Qi
Likun Lu
Wu Dong
Yu Liang","10.3233/faia231364","https://scispace.compdf/research-on-zero-shot-learning-based-on-generative-model-4qc4co6c1v.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** The paper addresses zero‑shot image classification via GAN/VAE generative models, lacking any LLM usage, schema reverse‑engineering, document taxonomy, cross‑domain text evaluation, or related ablations.","Zero-shot learning is mainly applied in image classification tasks. Traditional classification methods use a large number of manually labeled data samples, which is time-consuming and inefficient. Zero-shot learning use semantic information to recognizes unknown images in the absence of labeled training data, saving labor costs. The mainstream method of early zero-shot learning, which only used known class data during training, was susceptible to domain drift and pivot point issues during testing, resulting in a decrease in model performance on the test set. In recent years, researchers have begun to use the generative model to solve the above problems. By generating the sample features of unknown classes to make up for the lack of visual data of unknown classes in training, the problem of imbalance between known and unknown class data has been alleviated. Firstly, introducing the concept of zero-shot learning briefly. Secondly, it briefly introduces traditional zero-shot learning and generalized zero-shot learning. Thirdly, two kinds of zero-shot learning methods based on the generative model are emphatically introduced. Then, the datasets and evaluation methods of zero-shot learning are briefly introduced, and the experimental results of the classical model are compared and analyzed. Finally, make a summary and outlook. "
